호선,역,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관
8,천호역,34895,15964,8538,4201,0,7,69,184,26,2,3,33,1,1
8,송파역,20185,7970,5839,5285,8,8,28,118,23,3,0,22,0,1
8,가락시장역,21445,8033,7295,7435,2,7,72,89,29,2,3,28,2,1
8,문정역,22585,9788,8342,3328,4,6,22,37,26,2,2,21,2,1
8,석촌역,36180,15671,11829,3073,5,8,38,145,24,2,3,38,0,1
8,몽촌토성역,28447,10762,9682,2307,10,5,46,81,25,1,0,29,0,3
8,잠실역,13965,4833,4882,2446,5,7,112,88,24,1,6,20,1,0
8,장지역,21118,8712,8203,2690,6,4,21,66,44,2,2,15,2,0
9,노량진역,15091,8803,3583,3443,4,10,39,47,23,2,0,30,0,1
9,종합운동장역,10966,3888,3857,1912,3,8,68,36,19,3,0,32,2,1
9,당산역,19053,8579,7260,2005,10,6,81,87,31,2,0,21,0,2
9,동작역,3883,1276,1196,109,2,0,0,1,9,0,0,2,0,0
9,고속터미널역,22334,7271,7206,3504,5,7,57,130,29,1,2,27,1,1
9,양천향교역,18782,7980,7682,1516,5,4,32,43,48,0,0,15,0,2
9,가양역,18782,7980,7682,1516,17,6,19,130,60,3,3,20,0,1
9,증미역,36630,15462,13888,2643,12,7,19,87,45,2,2,19,0,2
9,공항시장역,22525,10134,5926,2334,7,14,17,63,95,5,2,26,1,2
9,등촌역,32430,12781,10559,2353,11,7,25,119,38,3,0,25,0,2
9,신방화역,31590,11835,9604,1279,5,1,7,42,51,0,0,16,0,0
9,노들역,17928,7916,5522,1875,5,6,5,28,35,3,0,13,0,2
9,흑석역,19089,7911,4621,1327,22,5,12,60,27,1,0,18,0,2
9,사평역,28860,10833,8842,3408,11,6,48,87,41,2,1,28,1,1
9,구반포역,17938,5791,5680,1049,8,3,15,35,26,1,0,7,0,0
9,신반포역,22145,7151,7022,3598,11,11,39,100,36,3,1,24,1,0
9,신논현역,21395,11953,6074,6512,4,5,101,388,49,0,0,70,5,4
9,염창역,29444,11500,9797,1742,5,2,18,100,37,0,0,17,0,1
9,선유도역,13206,5578,4636,2223,16,5,39,61,36,1,0,27,0,3
9,샛강역,16741,6409,5776,5070,5,8,472,120,44,2,0,33,0,2
9,국회의사당역,845,554,558,2774,0,14,116,38,17,2,0,23,1,1
9,여의도역,8717,3370,3427,6959,4,13,599,145,37,1,1,46,2,1
