,역,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관
6,망원역,16747 ,7738 ,5450 ,1714 ,1 ,4 ,18 ,88 ,18 ,1 ,0 ,21 ,0 ,0 
6,합정역,8835 ,4185 ,3191 ,2574 ,2 ,4 ,47 ,56 ,13 ,3 ,1 ,29 ,5 ,0 
6,디지털미디어시티역,7745 ,2964 ,2434 ,1183 ,0 ,6 ,19 ,32 ,25 ,1 ,0 ,23 ,2 ,1 
6,광흥창역,12766 ,5360 ,4282 ,839 ,1 ,5 ,10 ,46 ,20 ,2 ,0 ,11 ,0 ,1 
6,상수역,10728 ,5370 ,3728 ,2550 ,7 ,1 ,9 ,31 ,19 ,0 ,0 ,33 ,6 ,3 
6,마포구청역,13916 ,6252 ,5486 ,1136 ,2 ,6 ,2 ,34 ,15 ,1 ,1 ,14 ,2 ,2 
6,월드컵경기장역,6597 ,2503 ,2512 ,352 ,1 ,2 ,3 ,17 ,12 ,0 ,1 ,4 ,1 ,1 
6,증산역,14287 ,5583 ,4343 ,800 ,2 ,5 ,6 ,46 ,12 ,2 ,0 ,12 ,0 ,1 
6,청구역,11508 ,4996 ,2937 ,1767 ,4 ,2 ,7 ,48 ,5 ,0 ,0 ,13 ,0 ,2 
6,버티고개역,12092 ,4834 ,4480 ,437 ,5 ,0 ,4 ,17 ,11 ,0 ,0 ,3 ,0 ,1 
6,신당역,12301 ,6189 ,4117 ,3487 ,3 ,5 ,20 ,57 ,16 ,2 ,0 ,18 ,0 ,2 
6,동묘앞역,10625 ,5274 ,3634 ,3437 ,6 ,4 ,36 ,67 ,16 ,1 ,0 ,19 ,0 ,1 
6,보문역,12877 ,6289 ,3267 ,772 ,7 ,2 ,5 ,31 ,9 ,1 ,0 ,6 ,0 ,0 
6,창신역,13906 ,5358 ,4011 ,567 ,9 ,4 ,3 ,29 ,17 ,0 ,0 ,7 ,0 ,1 
6,돌곶이역,13904 ,5533 ,3418 ,1175 ,4 ,4 ,8 ,42 ,9 ,1 ,0 ,11 ,0 ,0 
6,상월곡역,12105 ,5036 ,3140 ,671 ,1 ,3 ,3 ,23 ,10 ,1 ,0 ,9 ,0 ,1 
6,월곡역,11864 ,4923 ,3427 ,931 ,3 ,3 ,6 ,52 ,12 ,1 ,1 ,7 ,0 ,0 
6,효창공원앞역,12980 ,5318 ,3642 ,1237 ,3 ,2 ,7 ,57 ,19 ,1 ,0 ,10 ,0 ,1 
6,삼각지역,5967 ,3178 ,2833 ,3804 ,1 ,13 ,44 ,43 ,27 ,1 ,1 ,18 ,1 ,2 
6,녹사평역,4042 ,1969 ,1409 ,1172 ,1 ,5 ,21 ,16 ,13 ,0 ,0 ,9 ,0 ,0 
6,이태원역,5819 ,3059 ,1834 ,1766 ,1 ,3 ,29 ,25 ,18 ,2 ,0 ,17 ,0 ,2 
6,한강진역,3226 ,1671 ,1267 ,712 ,3 ,1 ,17 ,23 ,16 ,0 ,0 ,9 ,1 ,3 
6,연신내역,13019 ,6249 ,3863 ,2158 ,3 ,3 ,55 ,123 ,18 ,1 ,0 ,22 ,2 ,0 
6,구산역,17147 ,6876 ,5088 ,1062 ,7 ,0 ,10 ,64 ,15 ,0 ,0 ,10 ,0 ,1 
6,역촌역,"15,871","6,436","4,720",779,1,1,2,49,15,1,0,10,0,0
6,불광역,12153,5824,4440,1824,1,6,34,110,21,2,1,11,2,0
6,응암역,18256,7534,6086,948,5,3,7,45,12,1,1,13,0,0
6,새절역,11526,4939,3144,937,4,2,4,48,17,0,0,9,0,0
6,약수역,10538,4512,3211,1594,3,5,14,74,13,2,0,15,0,1
6,태릉입구역,10856,4756,3471,1108,3,2,13,38,22,1,0,14,0,0
7,논현역,8656 ,4937 ,2371 ,3119 ,0 ,2 ,53 ,162 ,17 ,0 ,0 ,26 ,1 ,2 
