,역,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관
7,학동역,5799 ,3118 ,1833 ,2713 ,2 ,4 ,49 ,75 ,11 ,1 ,0 ,23 ,0 ,2 
7,강남구청역,10818 ,4655 ,3520 ,3016 ,3 ,4 ,58 ,153 ,13 ,1 ,0 ,30 ,1 ,1 
7,청담역,9380 ,3584 ,3201 ,1506 ,3 ,2 ,31 ,83 ,13 ,1 ,0 ,16 ,0 ,0 
7,숭실대입구역,14410 ,5953 ,3781 ,870 ,10 ,4 ,6 ,35 ,11 ,2 ,0 ,12 ,0 ,0 
7,군자역,12591 ,6259 ,2682 ,1634 ,1 ,5 ,27 ,59 ,17 ,1 ,0 ,18 ,2 ,0 
7,건대입구역,12199 ,6210 ,1946 ,2059 ,15 ,3 ,23 ,78 ,9 ,0 ,2 ,27 ,3 ,2 
7,뚝섬유원지역,10716 ,4082 ,3028 ,426 ,3 ,3 ,1 ,12 ,5 ,2 ,0 ,8 ,0 ,2 
7,중곡역,13707 ,5693 ,2721 ,1339 ,2 ,3 ,7 ,71 ,17 ,3 ,0 ,17 ,0 ,1 
7,용마산역,12802 ,5281 ,3592 ,552 ,4 ,2 ,3 ,18 ,6 ,0 ,0 ,6 ,1 ,1 
7,어린이대공원역,8846 ,5226 ,2358 ,897 ,12 ,7 ,6 ,16 ,9 ,4 ,0 ,23 ,2 ,1 
7,가산디지털단지역,8846 ,5226 ,2358 ,897 ,0 ,4 ,66 ,51 ,33 ,1 ,0 ,32 ,0 ,1 
7,남구로역,19373 ,8701 ,7771 ,1552 ,3 ,3 ,20 ,87 ,13 ,1 ,0 ,11 ,0 ,1 
