역명,호선명,인구300,가구300,주택300,사업체수300,교육시설300,공공기관300,금융시설300,의료시설300,대중교통300,방범/방재300,백화점/중대형마트300,편의점300,극장/영화관300,도서관/박물관300,인구500,가구500,주택500,사업체수500,교육시설500,공공기관500,금융시설500,의료시설500,대중교통500,방범/방재500,백화점/중대형마트500,편의점500,극장/영화관500,도서관/박물관500,전철역코드,호선,외부코드,사이버스테이션,주소,현장민원소,관광안내소,문화공간,항공권판매,장애인시설,만남의장소,주차장,자전거보관소,무인민원발급기,역무실,수유방,엘레베이터,에스컬레이터,휠체어리프트시설,스피드게이트,화장실,X좌표,Y좌표,X좌표(WGS),Y좌표(WGS)
잠실(송파구청),2호선,5472,1883,1901,1456,0,2,99,45,19,0,6,17,1,0,13965,4833,4882,2446,5,7,112,88,24,1,6,20,1,0,216,2,216,216,서울특별시 송파구 올림픽로 지하 265,N,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,게이트 외부,522390,1114282,37.51395,127.102234
잠실나루,2호선,14913,5016,5052,784,5,2,11,58,7,0,0,7,0,0,28917,9522,9593,1629,7,3,102,95,21,0,0,14,0,0,215,2,215,215,서울특별시 송파구 오금로 20,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,Y,게이트 외부,522630,1116225,37.520733,127.10379
강변(동서울터미널),2호선,7592,2716,2515,1589,1,1,19,37,16,0,1,12,1,0,22192,7918,7512,2203,7,6,30,63,27,0,1,14,1,1,214,2,214,214,서울특별시 광진구 강변역로 53,N,N,N,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,게이트 외부,520755,1120262,37.535095,127.094681
구의(광진구청),2호선,11308,5714,3205,1627,0,5,24,71,10,0,0,15,0,1,30451,14253,7915,2870,12,7,37,107,18,0,0,29,0,1,213,2,213,213,서울특별시 광진구 아차산로 384-1,N,N,N,N,N,Y,N,Y,N,Y,N,Y,Y,N,Y,게이트 내부,518867,1120790,37.537077,127.085916
건대입구,2호선,12199,6210,1946,2059,15,3,23,78,9,0,2,27,2,2,33265,16623,6989,3106,18,3,29,107,20,0,7,38,3,2,212,2,212,212,서울특별시 광진구 아차산로 243,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,게이트 내부,515365,1121815,37.540693,127.07023
성수,2호선,8760,3880,2687,4633,2,8,32,41,28,3,1,27,0,0,14622,6338,4437,5658,5,9,37,51,36,3,1,34,0,0,211,2,211,211,서울특별시 성동구 아차산로 100,N,N,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,게이트 외부,512172,1122866,37.544581,127.055961
뚝섬,2호선,13384,5734,3693,2867,3,3,22,49,18,1,0,21,0,0,23701,10335,6524,4294,7,5,27,69,26,1,0,33,0,1,210,2,210,210,서울특별시 성동구 아차산로 18,N,N,N,N,N,Y,N,Y,N,Y,N,Y,N,N,Y,게이트 외부,510281,1123615,37.547184,127.047367
한양대,2호선,4650,1985,942,619,16,2,5,6,10,1,0,13,1,0,10440,5252,2672,1826,21,7,12,20,23,3,1,26,2,0,209,2,209,209,서울특별시 성동구 왕십리로 206,N,N,N,N,Y,Y,N,Y,N,Y,N,Y,N,N,Y,게이트 외부,509450,1125912,37.555273,127.043655
왕십리(성동구청),2호선,11829,6219,3350,2071,2,8,37,77,15,3,1,23,1,2,27011,12846,6816,3434,26,12,51,120,32,5,1,41,2,3,208,2,208,208,서울특별시 성동구 왕십리로 지하 300,Y,N,N,N,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,게이트 외부,508015,1127512,37.561533,127.037732
상왕십리,2호선,12224,5682,3249,1415,2,4,28,60,17,2,0,8,0,1,31343,13087,9193,2389,8,8,35,107,27,3,0,20,0,2,207,2,207,207,서울특별시 성동구 왕십리로 지하 374,N,N,N,N,N,Y,N,Y,N,Y,N,Y,N,N,Y,게이트 외부,506303,1128363,37.564354,127.029354
신당,2호선,11836,5779,3764,14447,8,11,47,86,15,8,0,30,2,2,23071,10663,7466,15356,9,14,53,106,26,8,0,34,2,4,206,2,206,206,서울특별시 중구 퇴계로 지하 431-1,N,N,N,N,Y,Y,N,N,N,Y,N,Y,Y,N,Y,게이트 외부,503765,1128712,37.565972,127.01782
동대문역사문화공원,2호선,4602,2440,1841,16856,4,11,101,53,24,6,0,24,4,1,12114,6262,4059,20793,7,14,116,71,33,7,0,39,4,1,205,2,205,205,서울특별시 중구 을지로 지하 279,N,N,N,N,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,게이트 내부,501555,1128600,37.565138,127.007896
을지로4가,2호선,1899,1294,912,14138,1,3,75,4,24,1,0,17,2,1,5224,3037,2343,27738,3,11,207,113,48,6,0,56,3,1,204,2,204,204,서울특별시 중구 을지로 지하 178,N,N,N,N,Y,N,N,N,N,Y,N,Y,Y,N,Y,게이트 외부,499460,1129122,37.566941,126.998079
을지로3가,2호선,1892,1040,766,16458,4,13,413,182,45,5,0,72,10,4,4843,2798,1991,25600,4,25,560,258,64,10,0,105,14,10,203,2,203,203,서울특별시 중구 을지로 지하 106,N,N,N,N,N,Y,N,Y,N,Y,N,Y,Y,N,Y,게이트 외부,497895,1128945,37.566295,126.99191
을지로입구,2호선,919,349,250,7938,2,22,573,177,47,4,4,58,9,3,3386,1921,1650,23387,10,46,854,332,94,29,6,124,13,29,202,2,202,202,서울특별시 중구 을지로 지하 42,N,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,N,N,게이트 외부,495832,1128752,37.566014,126.982618
시청,2호선,804,428,410,5732,7,20,423,103,44,4,5,43,5,5,2764,1101,955,20468,9,42,853,317,88,8,7,104,15,13,201,2,201,151,서울특별시 중구 서소문로 지하 127,N,N,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,"게이트 내부,외부",494587,1128532,37.564718,126.977108
오금,3호선,7408,2807,2152,794,4,5,6,22,11,2,0,7,0,1,21904,7976,6257,1769,10,7,8,52,21,4,0,16,0,1,342,3,352,2558,서울특별시 송파구 오금로 지하 321,N,N,N,N,N,Y,N,N,N,Y,N,Y,Y,N,N,"게이트 내부,외부",528137,1111147,37.502162,127.128111
