,numeric,lon,lat,address
고등학교학생,1274,127.1068868,37.6053695,"50 yangwonyeok-ro, jungnang-gu, seoul, south korea"
고등학교학생,1173,127.1053091,37.6063172,"67 yangwonyeok-ro, jungnang-gu, seoul, south korea"
고등학교학생,1852,127.0533366,37.4907295,"2807 nambusunhwan-ro, gangnam-gu, seoul, south korea"
고등학교학생,672,126.9455732,37.551286,"99 sungmun-gil, daeheung-dong, mapo-gu, seoul, south korea"
고등학교학생,1459,126.9032327,37.593125,"6 eunpyeongteoneol-ro 7-gil, eunpyeong-gu, seoul, south korea"
고등학교학생,1131,126.9292344,37.5073276,"79 yeouidaebang-ro 36-gil, dongjak-gu, seoul, south korea"
고등학교학생,484,126.9699957,37.5431703,"263 cheongpa-ro, yongsan-gu, seoul, south korea"
고등학교학생,1088,127.0282661,37.6282824,"20 solmae-ro 49-gil, gangbuk-gu, seoul, south korea"
고등학교학생,1303,126.8871706,37.5347501,"1039 annyangcheon-ro, yangcheon-gu, seoul, south korea"
고등학교학생,1279,126.8459167,37.5088072,"13 sinjeong-ro 14-gil, yangcheon-gu, seoul, south korea"
고등학교학생,1013,127.0495164,37.6283619,"820 wolgye-dong, nowon-gu, seoul, south korea"
고등학교학생,1542,127.0433256,37.5202083,"23-4 cheongdam-dong, gangnam-gu, seoul, south korea"
고등학교학생,1519,127.0897897,37.5099074,"93 seokchonhosu-ro, songpa-gu, seoul, south korea"
고등학교학생,720,126.9446913,37.4763905,"25 cheongnyong 16-gil, gwanak-gu, seoul, south korea"
고등학교학생,1359,127.0831235,37.652304,"118 junggyebon-dong, nowon-gu, seoul, south korea"
고등학교학생,1481,126.8618151,37.5473671,"26 deungchon-ro 51ga-gil, gangseo-gu, seoul, south korea"
고등학교학생,1475,127.1199707,37.532083,"565 olympic-ro, pungnap-dong, songpa-gu, seoul, south korea"
고등학교학생,1572,127.0278332,37.613765,"19 dobong-ro 13ga-gil, gangbuk-gu, seoul, south korea"
고등학교학생,1486,126.9153633,37.6107227,"8-3 gusan-dong, eunpyeong-gu, seoul, south korea"
고등학교학생,879,126.8282053,37.4996945,"2 ori-ro 21-gil, guro-gu, seoul, south korea"
