Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev
387	0.0144	0.634	0.324	0.134
388	0.015	0.634	0.324	0.134
389	0.0151	0.633	0.324	0.134
390	0.015	0.633	0.324	0.134
391	0.0153	0.634	0.324	0.134
392	0.0151	0.633	0.323	0.134
393	0.0147	0.633	0.324	0.134
394	0.0147	0.633	0.324	0.134
395	0.0152	0.633	0.324	0.134
396	0.0145	0.633	0.324	0.134
397	0.0147	0.633	0.324	0.134
398	0.0147	0.633	0.324	0.134
399	0.0143	0.633	0.324	0.134
400	0.0144	0.632	0.324	0.134
401	0.0143	0.632	0.324	0.134
402	0.0145	0.633	0.324	0.134
403	0.0148	0.632	0.324	0.134
404	0.015	0.632	0.324	0.134
405	0.0149	0.633	0.324	0.134
406	0.0149	0.632	0.324	0.134
407	0.0143	0.632	0.325	0.134
408	0.0144	0.632	0.324	0.134
409	0.0143	0.632	0.324	0.134
410	0.014	0.632	0.324	0.133
411	0.0136	0.632	0.325	0.134
412	0.0144	0.632	0.324	0.134
413	0.014	0.632	0.325	0.134
414	0.0144	0.632	0.325	0.133
415	0.0143	0.631	0.325	0.133
416	0.0142	0.632	0.324	0.134
417	0.0139	0.632	0.324	0.134
418	0.0142	0.632	0.324	0.134
419	0.0143	0.631	0.324	0.134
420	0.0139	0.632	0.324	0.134
421	0.0142	0.632	0.324	0.134
422	0.014	0.632	0.325	0.134
423	0.014	0.631	0.325	0.133
424	0.0143	0.632	0.325	0.133
425	0.0143	0.632	0.324	0.133
426	0.0145	0.632	0.324	0.133
427	0.0143	0.632	0.324	0.133
428	0.0139	0.632	0.324	0.134
429	0.0142	0.632	0.324	0.133
430	0.0142	0.632	0.324	0.133
431	0.0145	0.631	0.324	0.133
432	0.0139	0.632	0.324	0.134
433	0.0139	0.632	0.325	0.134
434	0.014	0.631	0.324	0.134
435	0.0145	0.631	0.325	0.133
436	0.0148	0.631	0.324	0.134
437	0.0146	0.631	0.324	0.134
438	0.0143	0.631	0.324	0.133
439	0.0144	0.631	0.324	0.134
440	0.0145	0.631	0.324	0.134
441	0.0144	0.632	0.324	0.134
442	0.0145	0.631	0.324	0.134
443	0.0144	0.631	0.324	0.134
444	0.0145	0.631	0.325	0.133
445	0.0144	0.631	0.324	0.133
446	0.0143	0.631	0.324	0.134
447	0.0142	0.631	0.325	0.134
448	0.0142	0.631	0.324	0.134
449	0.0145	0.631	0.324	0.134
450	0.014	0.631	0.324	0.133
451	0.0144	0.631	0.324	0.133
452	0.0145	0.63	0.325	0.133
453	0.0142	0.631	0.325	0.133
454	0.0142	0.63	0.324	0.133
455	0.014	0.631	0.324	0.133
456	0.0144	0.631	0.324	0.133
457	0.014	0.631	0.324	0.133
458	0.0142	0.631	0.324	0.133
459	0.0142	0.631	0.324	0.133
460	0.014	0.63	0.324	0.133
461	0.0144	0.63	0.324	0.133
462	0.0143	0.63	0.325	0.133
463	0.0138	0.63	0.324	0.133
464	0.0137	0.63	0.324	0.133
465	0.0141	0.63	0.324	0.133
466	0.0143	0.63	0.325	0.133
467	0.0145	0.63	0.324	0.133
468	0.0143	0.63	0.324	0.133
469	0.014	0.63	0.324	0.133
470	0.0143	0.63	0.324	0.133
471	0.0141	0.63	0.324	0.133
472	0.014	0.63	0.324	0.133
473	0.0143	0.63	0.324	0.133
474	0.0142	0.63	0.324	0.133
475	0.0139	0.63	0.324	0.133
476	0.014	0.63	0.324	0.133
477	0.0142	0.63	0.324	0.132
478	0.0143	0.63	0.324	0.132
479	0.0145	0.63	0.324	0.133
480	0.0141	0.63	0.324	0.133
481	0.0143	0.63	0.324	0.133
482	0.0143	0.63	0.324	0.133
483	0.0144	0.63	0.324	0.133
484	0.0139	0.629	0.325	0.133
485	0.0141	0.629	0.325	0.133
486	0.0145	0.629	0.325	0.133
487	0.0142	0.629	0.325	0.133
488	0.0141	0.629	0.324	0.133
489	0.0139	0.629	0.324	0.132
490	0.0136	0.629	0.324	0.132
491	0.0136	0.629	0.324	0.132
492	0.014	0.629	0.324	0.133
493	0.0142	0.629	0.324	0.133
494	0.0143	0.629	0.324	0.133
495	0.0141	0.629	0.324	0.133
496	0.0143	0.629	0.325	0.133
497	0.0144	0.629	0.325	0.133
498	0.0142	0.629	0.325	0.133
499	0.0141	0.629	0.325	0.133
500	0.0147	0.629	0.324	0.133
501	0.0142	0.628	0.325	0.133
502	0.014	0.628	0.324	0.133
503	0.0139	0.629	0.324	0.133
504	0.014	0.628	0.325	0.133
505	0.0142	0.629	0.324	0.133
506	0.0142	0.629	0.324	0.133
507	0.014	0.629	0.324	0.133
508	0.0143	0.629	0.325	0.133
509	0.0143	0.629	0.325	0.133
510	0.0146	0.629	0.324	0.133
511	0.0144	0.628	0.325	0.133
512	0.0145	0.628	0.325	0.133
513	0.0146	0.628	0.324	0.133
514	0.0144	0.628	0.325	0.133
515	0.0144	0.628	0.324	0.133
516	0.0146	0.628	0.325	0.133
517	0.0145	0.628	0.325	0.132
518	0.0148	0.628	0.325	0.133
519	0.0145	0.628	0.324	0.133
