iteration	BLstm1_backward_c	BLstm1_backward_r	BLstm1_forward_c	BLstm1_forward_r	BLstm2_backward_c	BLstm2_backward_r	BLstm2_forward_c	BLstm2_forward_r	BLstm3_backward_c	BLstm3_backward_r	BLstm3_forward_c	BLstm3_forward_r
103	2.65204e-05	0.0	8.9596e-06	0.0	3.40465e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
104	2.81539e-05	0.0	1.17025e-05	0.0	0.0	0.0	0.0	0.0	1.69602e-07	0.0	0.0	0.0
105	3.79858e-05	0.0	2.70121e-05	0.0	0.0	0.0	6.75303e-07	0.0	1.68826e-07	0.0	0.0	0.0
106	4.11079e-05	0.0	1.47067e-05	0.0	0.0	0.0	0.0	0.0	1.5947e-06	0.0	0.0	0.0
107	5.80663e-05	0.0	2.23742e-05	0.0	2.66359e-06	0.0	0.0	0.0	0.0	0.0	1.33376e-05	0.0
108	3.54798e-05	0.0	2.10822e-05	0.0	6.856e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
109	5.29095e-05	0.0	3.06499e-05	0.0	3.42456e-06	0.0	0.0	0.0	4.45193e-06	0.0	0.0	0.0
110	4.61505e-05	0.0	2.40188e-05	0.0	1.01222e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
111	3.62062e-05	0.0	3.92087e-05	0.0	8.83078e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
112	3.09682e-05	0.0	2.37948e-05	0.0	9.79785e-06	0.0	0.0	0.0	5.24885e-07	0.0	6.3618e-06	0.0
113	3.70905e-05	0.0	1.99318e-05	0.0	0.0	0.0	0.0	0.0	3.98636e-06	0.0	0.0	0.0
114	7.92726e-05	0.0	5.51985e-05	0.0	1.15212e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
115	5.59563e-05	0.0	2.96946e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.21347e-05	0.0
116	6.24832e-05	0.0	4.23993e-05	0.0	5.32137e-06	0.0	0.0	0.0	8.4112e-06	0.0	0.0	0.0
117	3.24952e-05	0.0	3.24952e-05	0.0	1.35397e-06	0.0	8.46229e-07	0.0	1.69246e-06	0.0	5.66908e-06	0.0
118	3.37303e-05	0.0	1.41117e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
119	4.44323e-05	0.0	2.40675e-05	0.0	1.00982e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
120	3.6935e-05	0.0	2.20935e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
121	5.14168e-05	0.0	2.92602e-05	0.0	8.96411e-06	0.0	1.69134e-07	0.0	0.0	0.0	1.36672e-06	0.0
122	4.72059e-05	0.0	3.6678e-05	0.0	2.71689e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
123	4.84923e-05	0.0	1.86897e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
124	6.11989e-05	0.0	5.20032e-05	0.0	7.76877e-06	0.0	0.0	0.0	3.17093e-07	0.0	8.00759e-06	0.0
125	3.02327e-05	0.0	2.21256e-05	0.0	0.0	0.0	0.0	0.0	8.44488e-07	0.0	0.0	0.0
126	5.51688e-05	0.0	2.6407e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
127	4.87281e-05	0.0	3.99438e-05	0.0	3.81206e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
128	4.56318e-05	0.0	3.03114e-05	0.0	1.64736e-07	0.0	0.0	0.0	5.76575e-06	0.0	4.84899e-06	0.0
129	3.73072e-05	0.0	4.46064e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64665e-07	0.0
130	5.53665e-05	0.0	3.75945e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.48749e-06	0.0
131	4.61097e-05	0.0	3.07398e-05	0.0	5.63563e-06	0.0	0.0	0.0	0.0	0.0	1.55987e-06	0.0
132	6.34013e-05	0.0	3.85847e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.039e-06	0.0
133	3.32276e-05	0.0	3.5601e-05	0.0	1.69528e-07	0.0	0.0	0.0	0.0	0.0	8.56082e-07	0.0
134	5.08371e-05	0.0	2.44152e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.54597e-06	0.0
135	4.02915e-05	0.0	3.14109e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.33853e-06	0.0
136	5.12159e-05	0.0	3.72634e-05	0.0	4.08366e-06	0.0	0.0	0.0	0.0	0.0	3.43709e-07	0.0
137	2.78996e-05	0.0	1.97622e-05	0.0	0.0	0.0	1.16248e-06	0.0	0.0	0.0	2.35967e-06	0.0
138	7.22458e-05	0.0	4.704e-05	0.0	1.76601e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
139	5.8276e-05	0.0	3.22629e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
140	5.24503e-05	0.0	3.93377e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
141	5.07723e-05	0.0	2.71114e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.50314e-06	0.0
142	4.12185e-05	0.0	2.55082e-05	0.0	1.68928e-07	0.0	0.0	0.0	0.0	0.0	3.41246e-07	0.0
143	3.42072e-05	0.0	3.89537e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
144	4.16536e-05	0.0	2.26596e-05	0.0	0.0	0.0	4.6652e-06	0.0	0.0	0.0	0.0	0.0
145	4.54824e-05	0.0	3.12691e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
146	6.43589e-05	0.0	4.91586e-05	0.0	1.48769e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
147	5.4925e-05	0.0	3.36276e-05	0.0	0.0	0.0	2.72223e-06	0.0	0.0	0.0	0.0	0.0
148	5.84039e-05	0.0	2.00195e-05	0.0	0.0	0.0	3.47445e-06	0.0	0.0	0.0	0.0	0.0
149	3.87506e-05	0.0	2.45257e-05	0.0	0.0	0.0	1.63504e-07	0.0	0.0	0.0	1.82554e-06	0.0
150	4.61071e-05	0.0	3.21941e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151	5.30706e-05	0.0	3.06666e-05	0.0	0.0	0.0	5.24351e-06	0.0	0.0	0.0	0.0	0.0
152	5.74977e-05	0.0	3.31844e-05	0.0	0.0	0.0	4.10698e-06	0.0	5.58549e-06	0.0	5.83558e-06	0.0
153	3.55858e-05	0.0	4.59854e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.46356e-06	0.0
154	6.70833e-05	0.0	3.17506e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
155	6.02772e-05	0.0	4.67942e-05	0.0	0.0	0.0	1.90349e-06	0.0	0.0	0.0	1.93245e-06	0.0
156	5.74937e-05	0.0	3.87598e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.96687e-06	0.0
157	5.81331e-05	0.0	3.96362e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
158	4.87316e-05	0.0	2.85561e-05	0.0	0.0	0.0	1.05533e-05	0.0	0.0	0.0	1.41748e-06	0.0
159	4.76779e-05	0.0	3.71368e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
160	7.09298e-05	0.0	6.73176e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.31636e-07	0.0
161	8.28994e-05	0.0	6.92987e-05	0.0	1.78104e-06	0.0	3.23826e-07	0.0	2.75252e-06	0.0	3.287e-07	0.0
162	7.4154e-05	0.0	3.90854e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
163	7.04935e-05	0.0	5.02386e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.83329e-07	0.0
164	6.63662e-05	0.0	3.88716e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
165	6.9654e-05	0.0	3.95585e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
166	6.78767e-05	0.0	5.54485e-05	0.0	0.0	0.0	4.30204e-06	0.0	5.89539e-06	0.0	0.0	0.0
167	8.9253e-05	0.0	5.0107e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
168	8.67061e-05	0.0	5.37049e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
169	7.00257e-05	0.0	5.44466e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10884e-06	0.0
170	8.17225e-05	0.0	4.79334e-05	0.0	0.0	0.0	4.5576e-06	0.0	0.0	0.0	5.42329e-06	0.0
171	7.86012e-05	0.0	5.77446e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.01114e-05	0.0
172	7.78874e-05	0.0	6.34405e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3307e-06	0.0
173	7.71826e-05	0.0	6.62471e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
174	4.53622e-05	0.0	5.17755e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
175	6.10927e-05	0.0	6.795e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
176	8.50411e-05	0.0	9.58474e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
177	7.00956e-05	0.0	6.56181e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
178	4.86899e-05	0.0	6.3029e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
179	6.06993e-05	0.0	6.49452e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
180	8.03113e-05	0.0	5.88327e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
181	8.0258e-05	0.0	6.10759e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
182	7.04655e-05	0.0	7.94229e-05	0.0	4.32945e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
183	6.03434e-05	0.0	7.03493e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.56233e-07	0.0
184	6.90649e-05	0.0	6.79586e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
185	9.71332e-05	0.0	5.85933e-05	0.0	4.23e-06	0.0	7.67666e-06	0.0	0.0	0.0	6.36067e-07	0.0
186	8.72668e-05	0.0	7.52504e-05	0.0	0.0	0.0	3.15185e-06	0.0	0.0	0.0	3.98688e-07	0.0
187	8.58267e-05	0.0	8.23156e-05	0.0	0.0	0.0	9.75304e-07	0.0	0.0	0.0	2.97285e-06	0.0
188	7.38784e-05	0.0	7.835e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
189	8.56935e-05	0.0	8.74266e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
190	7.23376e-05	0.0	7.57823e-05	0.0	2.67917e-06	0.0	1.91369e-07	0.0	0.0	0.0	1.94447e-06	0.0
191	8.41727e-05	0.0	9.0705e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.88864e-07	0.0
