키,업종,상호,주소,도로명주소,행정 시,행정 구,행정 동,객실수,비고
BE_LiST20-0272,외국인관광도시민박업,24 게스트하우스,,"서울특별시 서대문구 연세로5나길 24, 203호 (창천동)",서울특별시,서대문구,신촌동,5,
BE_LiST20-0273,외국인관광도시민박업,JK게스트하우스,,서울특별시 서대문구 홍은중앙로 106  (홍은동),서울특별시,서대문구,홍은1동,4,
BE_LiST20-0274,외국인관광도시민박업,J 게스트하우스,,"서울특별시 서대문구 연세로5나길 8, 6층 (창천동)",서울특별시,서대문구,신촌동,5,
BE_LiST20-0275,외국인관광도시민박업,ICOS 게스트하우스,,서울특별시 서대문구 연세로2다길 63 (창천동),서울특별시,서대문구,신촌동,5,
BE_LiST20-0276,외국인관광도시민박업,리더게스트하우스,,서울특별시 서대문구 충정로4길 5-18 (충정로3가),서울특별시,서대문구,충현동,3,
BE_LiST20-0277,외국인관광도시민박업,레몬티 게스트하우스,,"서울특별시 서대문구 경기대로7길 19, 102호 (충정로3가, 새롬아파트)",서울특별시,서대문구,충현동,,
BE_LiST20-0278,외국인관광도시민박업,서울스테이션게스트하우스,,"서울특별시 서대문구 서소문로 43-45, 1층 B호 (합동)",서울특별시,서대문구,충현동,,
BE_LiST20-0279,외국인관광도시민박업,마이홈인서울,,"서울특별시 서대문구 통일로37나길 12-6, 가동 201, 202호 (홍제동, 제일아파트)",서울특별시,서대문구,홍제1동,,
BE_LiST20-0280,외국인관광도시민박업,예포게스트하우스,,"서울특별시 서대문구 성산로7안길 8, 1,2층층 (연희동)",서울특별시,서대문구,연희동,1,
BE_LiST20-0281,외국인관광도시민박업,연희하우스,,서울특별시 서대문구 연희로11길 53 (연희동),서울특별시,서대문구,연희동,1,
BE_LiST20-0282,외국인관광도시민박업,코지박스,,"서울특별시 서대문구 이화여대7길 48 (대현동, 경국빌딩)",서울특별시,서대문구,신촌동,,
BE_LiST20-0283,외국인관광도시민박업,제이제이게스트하우스,,서울특별시 서대문구 응암로 28 (북가좌동),서울특별시,서대문구,북가좌1동,1,
BE_LiST20-0284,외국인관광도시민박업,드림게스트하우스,,서울특별시 서대문구 연희로16길 26-1 (연희동),서울특별시,서대문구,연희동,,
BE_LiST20-0285,외국인관광도시민박업,연게스트하우스,,서울특별시 서대문구 연희로35길 33-6 (연희동),서울특별시,서대문구,연희동,,
BE_LiST20-0286,외국인관광도시민박업,야코리아게스트하우스,,서울특별시 서대문구 신촌로3가길 3-8 (창천동),서울특별시,서대문구,신촌동,,
BE_LiST20-0287,외국인관광도시민박업,서울스테이션게스트하우스-4,,서울특별시 서대문구 서소문로 43-45 (합동),서울특별시,서대문구,충현동,,
BE_LiST20-0288,외국인관광도시민박업,서울스테이션게스트하우스-3,,서울특별시 서대문구 서소문로 43-45 (합동),서울특별시,서대문구,충현동,,
BE_LiST20-0289,외국인관광도시민박업,서울스테이션게스트하우스-1,,서울특별시 서대문구 서소문로 43-45 (합동),서울특별시,서대문구,충현동,,
BE_LiST20-0290,외국인관광도시민박업,서울스테이션게스트하우스-2,,서울특별시 서대문구 서소문로 43-45 (합동),서울특별시,서대문구,충현동,,
BE_LiST20-0291,외국인관광도시민박업,필스테이이화부띠끄,,"서울특별시 서대문구 이화여대길 43, 4층 (대현동)",서울특별시,서대문구,신촌동,,
BE_LiST20-0292,외국인관광도시민박업,신촌게스트하우스,,서울특별시 서대문구 연대동문1길 48 (신촌동),서울특별시,서대문구,신촌동,,
BE_LiST20-0293,외국인관광도시민박업,더메이하우스,,"서울특별시 서대문구 성산로7길 11 (연희동, 1층,2층)",서울특별시,서대문구,연희동,,
BE_LiST20-0294,외국인관광도시민박업,타임트래블러파티게스트하우스,,"서울특별시 서대문구 연희로2길 11, 1,2층 (창천동)",서울특별시,서대문구,신촌동,,
BE_LiST20-0295,외국인관광도시민박업,컴인 게스트하우스,,서울특별시 마포구 와우산로21길 20-10 (서교동),서울특별시,마포구,서교동,5,
BE_LiST20-0296,외국인관광도시민박업,NEO SEOUL,,"서울특별시 마포구 동교로 142-13, 1층 (서교동)",서울특별시,마포구,서교동,4,
BE_LiST20-0297,외국인관광도시민박업,패밀리&프렌즈 하우스,,서울특별시 마포구 월드컵북로6길 81-12 (연남동),서울특별시,마포구,연남동,8,
BE_LiST20-0298,외국인관광도시민박업,김치 홍대 게스트하우스,,서울특별시 마포구 연남로1길 67-6 (연남동),서울특별시,마포구,연남동,8,
BE_LiST20-0299,외국인관광도시민박업,스테이코리아,,서울특별시 마포구 동교로27길 60-5 (연남동),서울특별시,마포구,연남동,7,
BE_LiST20-0300,외국인관광도시민박업,하이 게스트하우스,,서울특별시 마포구 동교로15길 32 (서교동),서울특별시,마포구,서교동,9,
BE_LiST20-0301,외국인관광도시민박업,포시즌하우스,,서울특별시 마포구 동교로18길 15 (서교동),서울특별시,마포구,서교동,7,
