호선,역,인구_100,가구_100,주택_100,사업체수_100,교육시설_100,공공기관_100,금융시설_100,의료시설_100,대중교통_100,방범.방재_100,백화점.중대형마트_100,편의점_100,극장.영화관_100,도서관.박물관_100,인구_300,가구_300,주택_300,사업체수_300,교육시설_300,공공기관_300,금융시설_300,의료시설_300,대중교통_300,방범.방재_300,백화점.중대형마트_300,편의점_300,극장.영화관_300,도서관.박물관_300,인구_500,가구_500,주택_500,사업체수_500,교육시설_500,공공기관_500,금융시설_500,의료시설_500,대중교통_500,방범.방재_500,백화점.중대형마트_500,편의점_500,극장.영화관_500,도서관.박물관_500
5,영등포구청,1957,1042,523,1700,1,2,61,31,6,0,0,11,0,0,13052,5738,4127,2634,6,6,82,59,17,0,0,19,0,2,24757,10533,7789,4078,6,8,101,78,34,1,1,24,0,2
5,영등포시장,1895,1167,598,838,2,0,27,33,6,0,0,4,0,0,8317,4283,2664,2310,3,1,56,69,14,0,0,9,1,1,21487,11496,8581,6605,5,9,121,142,37,4,3,39,3,3
5,신길,2212,1493,1301,113,1,0,0,0,2,0,0,3,0,0,8103,4578,3662,2710,4,4,66,37,16,3,1,26,2,0,16542,7946,6181,3499,9,7,87,57,23,4,1,36,2,0
5,여의도,1346,550,582,4128,1,4,479,106,23,0,0,22,1,1,5716,2047,2091,4197,0,0,481,109,23,0,0,22,0,0,8717,3370,3427,6959,4,13,599,145,37,1,1,46,2,1
5,여의나루,1361,491,504,31,4,0,0,0,3,0,0,2,0,0,5059,1837,1904,3941,0,0,440,94,23,0,0,21,0,0,8752,3364,3444,6235,5,11,533,122,35,1,0,39,2,1
5,마포,2331,1287,1105,1135,0,1,35,29,8,0,0,9,0,0,12058,5372,4803,3489,4,7,110,106,20,0,0,24,0,0,2985,12007,11087,4123,8,8,117,123,37,2,0,30,0,1
5,공덕,3283,1730,1691,2117,4,10,85,99,17,2,0,14,0,0,8759,3984,3741,3076,5,13,101,136,28,3,1,22,0,0,33206,13699,12255,4396,14,16,127,180,45,3,1,33,0,3
5,애오개,1407,608,476,347,1,0,9,8,5,0,0,2,0,0,12875,5160,4807,1132,5,2,27,47,17,1,0,6,0,0,29945,12051,10703,2023,12,8,35,81,35,2,0,12,3,1
5,충정로,2482,1233,1008,933,0,3,35,24,15,0,0,10,0,0,12499,5577,5794,1862,6,11,84,44,27,6,0,19,0,0,23034,10154,8187,2897,17,16,113,78,48,7,1,28,1,1
5,서대문,2002,1028,916,1839,7,11,111,33,30,5,1,24,2,4,3991,2005,1579,2275,10,11,127,40,37,5,0,26,2,4,12454,5335,4271,5817,25,31,349,151,85,7,2,57,5,8
5,광화문,989,511,474,3454,0,17,143,72,24,0,1,23,2,19,3910,2125,2057,10590,9,50,504,212,61,9,2,87,9,29,5182,2664,2527,10994,9,53,510,223,66,11,2,89,9,31
5,종로3가,739,474,413,4059,0,8,109,82,29,5,0,32,4,5,2786,1836,1209,14115,0,10,150,103,35,5,0,44,4,9,5312,3085,2293,21395,4,20,323,169,54,7,0,86,9,25
5,을지로4가,1803,1227,852,10188,1,3,62,31,15,1,0,16,2,0,1899,1294,912,14138,0,3,75,40,24,1,0,17,2,0,5224,3037,2343,27738,3,11,207,113,48,6,0,56,3,1
5,동대문역사문화공원,924,486,421,5447,0,3,66,26,13,0,0,12,2,0,4704,2559,1784,9052,0,6,87,47,26,0,0,24,2,0,9928,5370,3703,22859,5,13,122,83,38,7,0,44,4,1
