호선,역,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범.방재,백화점.중대형마트,편의점,극장.영화관,도서관.박물관
5,마포,2985,12007,11087,4123,8,8,117,123,37,2,0,30,0,1
5,공덕,33206,13699,12255,4396,14,16,127,180,45,3,1,33,0,3
5,애오개,29945,12051,10703,2023,12,8,35,81,35,2,0,12,3,1
5,충정로,23034,10154,8187,2897,17,16,113,78,48,7,1,28,1,1
5,서대문,12454,5335,4271,5817,25,31,349,151,85,7,2,57,5,8
5,광화문,5182,2664,2527,10994,9,53,510,223,66,11,2,89,9,31
5,종로3가,5312,3085,2293,21395,4,20,323,169,54,7,0,86,9,25
5,을지로4가,5224,3037,2343,27738,3,11,207,113,48,6,0,56,3,1
5,동대문역사문화공원,9928,5370,3703,22859,5,13,122,83,38,7,0,44,4,1
5,청구,28973,12418,8415,3967,9,8,25,102,19,2,0,27,0,5
5,신금호,36701,14169,12341,1032,7,6,10,65,56,2,0,13,0,2
5,행당,44588,16843,14179,1710,10,6,19,108,53,2,1,14,0,3
5,왕십리,27011,12846,6816,3434,26,12,51,120,32,5,1,41,2,3
5,마장,23648,10071,7030,2637,10,8,12,40,31,2,1,14,1,0
5,답십리,33049,14250,8234,3369,5,6,40,88,29,2,0,18,0,1
5,장한평,12254,4997,3892,3468,3,5,179,50,14,4,0,15,0,0
5,군자,36479,17586,7533,2795,3,8,33,80,32,1,0,34,2,1
5,아차산,34703,14185,8233,1984,8,5,17,95,31,3,0,29,2,1
5,광나루,21888,6955,6300,821,12,3,18,42,22,1,0,11,1,0
5,천호,34895,15964,8538,4201,0,7,69,184,26,2,3,33,1,1
5,강동,43836,19724,13666,3502,2,5,92,123,21,1,0,41,1,1
5,길동,41431,17179,12599,3397,6,8,68,147,23,2,0,46,0,1
5,굽은다리,45252,17418,11263,2638,8,7,13,138,22,1,1,33,0,0
5,명일,39051,13832,10636,2160,13,8,17,144,28,3,0,21,0,0
5,고덕,22026,7048,6812,1438,16,5,14,84,28,3,1,10,1,1
5,상일동,14337,5359,4280,625,10,2,6,48,23,0,0,5,1,2
5,둔촌동,37594,14107,10284,2823,8,3,26,103,20,0,0,26,0,1
5,올림픽공원,16070,4629,4633,459,13,4,11,18,14,1,0,7,0,3
5,방이,29629,9926,8760,2117,16,7,24,82,25,2,0,23,0,2
5,오금,21904,7976,6257,1769,10,7,8,52,21,4,0,16,0,1
5,개롱,29683,10382,8703,1691,14,5,10,92,33,1,0,10,0,1
5,거여,34545,12953,9728,1633,8,5,6,110,29,2,0,15,0,1
5,마천,35247,13915,8350,1864,2,8,9,98,17,4,0,14,0,0
6,봉화산,18391,6276,5947,718,8,7,5,46,35,2,1,7,0,1
6,화랑대,31961,11371,9768,968,8,3,6,69,39,2,0,11,0,2
6,태릉입구,29127,11829,8718,2061,5,7,19,99,37,3,1,23,0,0
6,석계,34952,13270,10409,1524,5,5,9,79,31,1,0,11,1,1
6,돌곶이,29781,12208,7130,2409,7,7,13,73,22,2,0,19,0,0
6,상월곡,22155,8757,5603,1285,13,6,5,42,16,3,0,14,0,1
6,월곡,26071,10198,7553,1551,13,4,9,80,20,0,0,14,0,0
6,고려대,20846,9239,5399,1511,22,5,7,35,28,1,0,20,0,1
6,안암,17400,8442,3972,1492,25,2,11,45,21,0,0,36,0,0
6,보문,31520,15065,8061,2312,19,11,25,88,27,4,0,27,0,0
6,창신,32749,12991,9072,1298,20,5,10,48,22,1,0,12,0,2
6,동묘앞,25957,12241,8879,16704,12,14,99,114,34,6,0,44,3,3
6,신당,23071,10663,7466,15356,9,14,53,106,26,8,0,34,2,4
6,청구,28973,12418,8415,3967,9,8,25,102,19,2,0,27,0,5
6,약수,10538,4512,3211,1594,3,5,14,74,13,2,0,15,0,9
6,버티고개,22451,9114,8316,1101,10,4,9,56,25,2,1,9,1,1
6,한강진,5180,2623,2006,836,3,2,17,25,21,0,0,10,1,4
6,이태원,14946,7480,4735,2396,3,7,33,35,31,2,0,22,0,3
6,녹사평,7292,3461,2450,1557,2,6,27,24,28,0,0,13,0,2
6,삼각지,11084,5320,5031,4179,3,13,45,52,31,1,1,24,1,2
6,효창공원,29483,12185,9035,2923,11,8,14,94,51,3,0,25,0,0
6,공덕,33206,13699,12255,4396,14,16,127,180,45,3,1,33,0,3
6,대흥,29140,11725,8511,1880,31,8,16,45,32,2,0,21,1,0
6,광흥창,30433,12468,9928,1464,12,7,3,64,43,3,0,22,1,1
6,상수,18227,8789,6449,3934,8,5,25,55,36,3,0,43,10,3
6,합정,19525,9115,6513,4544,3,5,73,79,27,4,0,51,9,1
6,망원,34718,15755,11235,3066,6,4,23,122,32,1,0,37,0,0
6,마포구청,29145,11913,10053,1927,7,7,7,63,26,1,1,22,2,2
6,월드컵경기장,16040,6477,6070,1012,4,4,7,49,24,1,1,12,1,1
6,디지털미디어시티,21867,8344,6798,2117,4,10,27,79,40,2,2,34,3,2
6,증산,30231,11812,8957,1530,4,5,10,69,17,2,0,18,0,1
6,새절,31517,12938,8847,1980,11,5,9,105,27,1,0,17,0,0
6,응암,45366,18162,14453,2304,13,3,16,125,25,1,1,28,0,0
6,역촌,39590,16267,11809,2162,4,5,16,107,31,2,0,23,1,0
6,불광,30854,13502,10240,2409,3,8,38,138,29,2,1,16,3,0
6,독바위,23910,9331,7810,556,9,2,16,27,13,2,0,6,0,3
6,연신내,35275,15280,10112,3065,11,5,59,165,37,1,0,33,2,1
6,구산,42081,16534,12510,1982,11,2,16,104,30,0,0,21,0,0
7,장암,3315,1189,1155,257,0,0,0,4,14,0,0,4,0,0
